     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
3928500 2446500  1  4 13   6.6  978 232  5.2 1  3.9  64  179  134 243 -335  2
3928500 2446500  1  4 14   7.6  979 238  4.2 1  3.9  61  164  124 244 -338  2
3928500 2446500  1  4 15   7.5  978 233  4.4 0  3.9  58  114  100 241 -338  2
3928500 2446500  1  4 16   7.6  978 238  3.3 0  3.8  56   47   60 239 -336  2
3928500 2446500  1  4 17   6.0  978 216  2.1 2  3.7  58    4   13 244 -330  2
3928500 2446500  1  4 18   4.3  977 220  2.2 2  3.7  65    0    0 245 -325  2
3928500 2446500  1  4 19   4.2  977 231  2.1 4  3.7  69    0    0 249 -321  2
3928500 2446500  1  4 20   3.2  977 200  2.9 4  3.6  71    0    0 254 -320  2
3928500 2446500  1  4 21   4.8  977 211  2.0 4  3.5  67    0    0 257 -319  2
3928500 2446500  1  4 22   4.0  977 211  2.0 3  3.3  62    0    0 255 -319  2
3928500 2446500  1  4 23   3.0  976 218  1.3 3  3.2  64    0    0 249 -317  2
3928500 2446500  1  4 24   3.1  977 204  1.0 1  3.1  64    0    0 239 -316  2
3928500 2446500  1  5  1   2.6  977 232  1.5 2  3.1  64    0    0 233 -315  2
3928500 2446500  1  5  2   2.3  977 247  1.4 4  3.1  66    0    0 248 -317  2
3928500 2446500  1  5  3   2.9  977 235  2.2 6  3.0  64    0    0 270 -319  2
3928500 2446500  1  5  4   2.8  977 217  2.8 5  3.0  62    0    0 276 -321  2
3928500 2446500  1  5  5   1.6  977 232  2.0 4  2.9  64    0    0 263 -324  2
3928500 2446500  1  5  6   1.8  978 205  2.7 4  2.9  66    0    0 254 -326  2
3928500 2446500  1  5  7   2.0  978 188  2.0 4  3.0  66    0    0 252 -328  2
3928500 2446500  1  5  8   2.2  978 202  1.9 4  3.0  66    0    0 252 -330  2
3928500 2446500  1  5  9   2.2  978 158  1.5 6  3.1  68    3   11 266 -331  2
3928500 2446500  1  5 10   3.5  978 183  2.5 7  3.3  68   29   56 287 -332  2
3928500 2446500  1  5 11   4.3  978 219  2.7 6  3.6  69   35   99 291 -334  2
